Hang_xe,Tuoi_xe,Nam_dang_ky,Tinh_trang_xe,Dung_tich_xe,Dong_xe,So_km_da_di,Loai_xe,Gia_xe
Suzuki,27,1996,Đã sử dụng,Không rõ,Sport/Xipo,1234,Tay côn,25500000.0
Piaggio,9,2014,Đã sử dụng,100 - 175 cc,Vespa,11000,Tay ga,32500000.0
Yamaha,10,2013,Đã sử dụng,100 - 175 cc,Exciter,25,Tay côn,27500000.0
Yamaha,8,2015,Đã sử dụng,100 - 175 cc,Exciter,37,Xe số,26500000.0
Honda,24,1999,Đã sử dụng,100 - 175 cc,Dream,25,Xe số,25000000.0
Yamaha,10,2013,Đã sử dụng,Không rõ,Sirius,30,Xe số,7800000.0
Honda,4,2019,Đã sử dụng,Không rõ,Winner,1000,Tay côn,16500000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Vario,1,Tay ga,40500000.0
Yamaha,5,2018,Đã sử dụng,Không rõ,Nvx,46000,Tay ga,26000000.0
Honda,14,2009,Đã sử dụng,100 - 175 cc,AirBlade,15000,Tay ga,12500000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,AirBlade,1000,Tay ga,35000000.0
Honda,4,2019,Đã sử dụng,Không rõ,Winner,1000,Tay côn,20800000.0
Honda,7,2016,Đã sử dụng,100 - 175 cc,SHMode,12,Tay ga,46000000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,Vision,1,Tay ga,13800000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,WinnerX,3000,Tay côn,25000000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,AirBlade,15000,Tay ga,13000000.0
Honda,6,2017,Đã sử dụng,Không rõ,Cub,20000,Xe số,8800000.0
Piaggio,11,2012,Đã sử dụng,100 - 175 cc,LX,25689,Tay ga,12500000.0
Yamaha,7,2016,Đã sử dụng,Không rõ,Exciter,18000,Xe số,23500000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,SH,30000,Tay ga,86000000.0
Honda,6,2017,Đã sử dụng,100 - 175 cc,Wave,18000,Xe số,14800000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,AirBlade,5,Tay ga,15500000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,Winner,1,Tay côn,27900000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,AirBlade,12000,Tay ga,14000000.0
Honda,5,2018,Đã sử dụng,Không rõ,AirBlade,18,Tay ga,15000000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,SH,4000,Tay ga,78500000.0
Honda,11,2012,Đã sử dụng,Không rõ,SH,14000,Tay ga,92000000.0
Yamaha,3,2020,Đã sử dụng,Trên 175 cc,MT,9000,Tay côn,54000000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,WinnerX,13000,Tay côn,17800000.0
Piaggio,9,2014,Đã sử dụng,Không rõ,Vespa,15000,Tay ga,6800000.0
Honda,42,1981,Đã sử dụng,50 - 100 cc,Cub,100,Xe số,18500000.0
Hãng khác,6,2017,Đã sử dụng,Không rõ,T15,9000,Tay côn,16800000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,Vario,13,Tay ga,57500000.0
Honda,6,2017,Đã sử dụng,100 - 175 cc,Sonic,21000,Tay côn,48000000.0
Honda,42,1981,Đã sử dụng,Không rõ,67,30000,Xe số,19800000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,AirBlade,38000,Tay ga,97979000.0
Yamaha,4,2019,Đã sử dụng,100 - 175 cc,Janus,9000,Tay ga,22300000.0
Honda,12,2011,Đã sử dụng,Không rõ,SH,17890,Tay ga,89000000.0
Hãng khác,12,2011,Đã sử dụng,50 - 100 cc,Dòng khác,55,Xe số,4500000.0
Honda,15,2008,Đã sử dụng,100 - 175 cc,Dream,20000,Xe số,3000000.0
Honda,6,2017,Đã sử dụng,100 - 175 cc,Future,29000,Xe số,26000000.0
Piaggio,8,2015,Đã sử dụng,100 - 175 cc,Liberty,12000,Tay ga,9600000.0
Piaggio,8,2015,Đã sử dụng,100 - 175 cc,Vespa,16000,Tay ga,8800000.0
Piaggio,7,2016,Đã sử dụng,100 - 175 cc,Vespa,12000,Tay ga,8600000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,SH,3000,Tay ga,68686268.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,Wave,1000,Xe số,19000000.0
Honda,8,2015,Đã sử dụng,100 - 175 cc,AirBlade,50000,Tay ga,25000000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,SH,1200,Tay ga,90000000.0
Kawasaki,12,2011,Đã sử dụng,Dưới 50 cc,Max,6558,Xe số,3499000.0
Yamaha,13,2010,Đã sử dụng,Không rõ,Exciter,24000,Tay côn,65000000.0
Piaggio,4,2019,Đã sử dụng,Trên 175 cc,GTS,9000,Tay ga,119000000.0
Honda,8,2015,Đã sử dụng,100 - 175 cc,SH,21000,Tay ga,52000000.0
Yamaha,10,2013,Đã sử dụng,Không rõ,Sirius,12345,Xe số,8900000.0
Honda,13,2010,Đã sử dụng,100 - 175 cc,Dream,56789,Xe số,4000000.0
Yamaha,6,2017,Đã sử dụng,100 - 175 cc,Exciter,9000,Tay côn,47000000.0
Hãng khác,24,1999,Đã sử dụng,50 - 100 cc,Dòng khác,12000,Xe số,11000000.0
Piaggio,9,2014,Đã sử dụng,50 - 100 cc,Vespa,10000,Tay ga,23500000.0
Yamaha,9,2014,Đã sử dụng,Không rõ,Exciter,1234,Tay côn,26500000.0
Piaggio,26,1997,Đã sử dụng,100 - 175 cc,Vespa,36838,Xe số,48000000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,Vario,10000,Tay ga,49500000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,Wave,1000,Xe số,16000000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,Vision,12000,Tay ga,29000000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,AirBlade,68000,Tay ga,28000000.0
Honda,7,2016,Đã sử dụng,100 - 175 cc,Future,8000,Xe số,17800000.0
Suzuki,7,2016,Đã sử dụng,100 - 175 cc,Sport/Xipo,58000,Tay côn,27500000.0
Honda,7,2016,Đã sử dụng,Trên 175 cc,SH,24000,Tay ga,63000000.0
Suzuki,5,2018,Đã sử dụng,100 - 175 cc,Satria,11000,Xe số,27500000.0
Honda,6,2017,Đã sử dụng,100 - 175 cc,Vision,29,Tay ga,23000000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,SH,2000,Tay ga,113900000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,SH,10000,Tay ga,66900000.0
Honda,8,2015,Đã sử dụng,100 - 175 cc,AirBlade,11000,Tay ga,22800000.0
Piaggio,9,2014,Đã sử dụng,100 - 175 cc,Vespa,5000,Tay ga,29500000.0
Honda,10,2013,Đã sử dụng,100 - 175 cc,AirBlade,12000,Tay ga,13800000.0
Honda,1,2022,Đã sử dụng,Không rõ,Cub,750,Xe số,179900000.0
Piaggio,8,2015,Đã sử dụng,100 - 175 cc,Liberty,12000,Tay ga,10500000.0
Piaggio,8,2015,Đã sử dụng,100 - 175 cc,Vespa,12000,Tay ga,9500000.0
Piaggio,8,2015,Đã sử dụng,100 - 175 cc,Liberty,16000,Tay ga,8600000.0
Piaggio,8,2015,Đã sử dụng,Không rõ,Liberty,20000,Tay ga,6800000.0
Yamaha,5,2018,Đã sử dụng,Không rõ,Exciter,1,Tay côn,21600000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,Wave,6,Xe số,15000000.0
Suzuki,5,2018,Đã sử dụng,Không rõ,Hayate,3000,Tay ga,5600000.0
Yamaha,11,2012,Đã sử dụng,100 - 175 cc,Exciter,5,Tay côn,20000000.0
Honda,33,1990,Đã sử dụng,Dưới 50 cc,67,10000,Tay côn,11000000.0
Yamaha,3,2020,Đã sử dụng,100 - 175 cc,Jupiter,30000,Xe số,21000000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,AirBlade,25000,Tay ga,21800000.0
Honda,6,2017,Đã sử dụng,Không rõ,AirBlade,30000,Tay ga,26900000.0
Honda,7,2016,Đã sử dụng,Không rõ,Click,30000,Tay ga,39900000.0
Yamaha,9,2014,Đã sử dụng,Không rõ,Exciter,40000,Tay côn,19800000.0
Suzuki,4,2019,Đã sử dụng,Không rõ,Raider,25000,Tay côn,27900000.0
Honda,1,2022,Đã sử dụng,Không rõ,Vario,9000,Tay ga,39900000.0
Honda,5,2018,Đã sử dụng,Không rõ,Wave,15000,Xe số,9800000.0
Yamaha,10,2013,Đã sử dụng,Không rõ,Exciter,12000,Tay côn,9500000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,Vario,2000,Tay ga,40000000.0
Yamaha,5,2018,Đã sử dụng,100 - 175 cc,Janus,12000,Tay ga,16500000.0
Honda,3,2020,Đã sử dụng,Không rõ,Future,9000,Xe số,26500000.0
Honda,1,2022,Đã sử dụng,Không rõ,Future,2000,Xe số,35500000.0
Honda,4,2019,Đã sử dụng,Không rõ,Wave,9000,Xe số,15800000.0
Honda,5,2018,Đã sử dụng,Không rõ,Vario,20000,Tay ga,38500000.0
Hãng khác,11,2012,Đã sử dụng,100 - 175 cc,Dòng khác,2222,Xe số,5900000.0
Honda,4,2019,Đã sử dụng,Không rõ,SH,9000,Tay ga,93000000.0
Honda,3,2020,Đã sử dụng,Không rõ,AirBlade,6000,Tay ga,47700000.0
Honda,3,2020,Đã sử dụng,Không rõ,SH,2000,Tay ga,60000000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,SH,5500,Tay ga,96000000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,WinnerX,2300,Tay côn,40000000.0
Honda,16,2007,Đã sử dụng,Không rõ,Future,1234,Xe số,26500000.0
Honda,13,2010,Đã sử dụng,Không rõ,AirBlade,5800,Tay ga,20800000.0
Honda,15,2008,Đã sử dụng,Không rõ,AirBlade,12000,Tay ga,12700000.0
Yamaha,9,2014,Đã sử dụng,100 - 175 cc,Dòng khác,31000,Xe số,100000000.0
Honda,1,2022,Mới,100 - 175 cc,Vision,0,Tay ga,29900000.0
Yamaha,9,2014,Đã sử dụng,100 - 175 cc,Exciter,1000,Xe số,21500000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,SH,20000,Tay ga,45000000.0
Honda,4,2019,Đã sử dụng,50 - 100 cc,Winner,10000,Tay côn,26800000.0
Honda,21,2002,Đã sử dụng,100 - 175 cc,Wave,1234,Xe số,11800000.0
Hãng khác,14,2009,Đã sử dụng,50 - 100 cc,Dòng khác,25000,Xe số,5900000.0
Hãng khác,21,2002,Đã sử dụng,Không rõ,Dòng khác,10000,Tay ga,1200000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,Lead,15000,Tay ga,8800000.0
Yamaha,4,2019,Đã sử dụng,Không rõ,Exciter,9000,Tay côn,22800000.0
Honda,6,2017,Đã sử dụng,Không rõ,SHMode,15000,Tay ga,33500000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,Vision,8000,Tay ga,11200000.0
Yamaha,5,2018,Đã sử dụng,100 - 175 cc,Nvx,2686,Tay ga,18500000.0
Yamaha,7,2016,Đã sử dụng,Không rõ,Janus,20000,Tay ga,17500000.0
Yamaha,6,2017,Đã sử dụng,Không rõ,Janus,18000,Tay ga,21000000.0
Honda,15,2008,Đã sử dụng,Không rõ,AirBlade,12345,Tay ga,15000000.0
Honda,5,2018,Đã sử dụng,Không rõ,Wave,18000,Xe số,13900000.0
